Name,Description,Type,T1D,T1B,T2D,T2B,T3D,T3B,T4D,T4B,T5D,T5B,T6D,T6B
Assassin's Vigour,Grants Health after breaking a Behemoth part,Defence,Heal 50 when you break a part,{'PartBreakHP': 50},Heal 100 when you break a part,{'PartBreakHP': 100},Heal 150 when you break a part,{'PartBreakHP': 150},Heal 200 when you break a part,{'PartBreakHP': 200},Heal 250 when you break a part,{'PartBreakHP': 250},Heal 300 when you break a part,{'PartBreakHP': 300}
Bloodless,Protects against Wounded and Crippling Wounds statuses.,Defence,Reduces duration of Wounded status by 50%,{'WoundResist': 50},Reduces duration of Wounded status by 80%,{'WoundResist': 80},Immune to Wounded status,{'WoundResist': 100},"Reduces effectiveness of Crippling Wounded status by 50%
Immune to Wounded status","{'WoundResist': 100, 'CripplingWoundResist': 50}","Reduces effectiveness of Crippling Wounded status by 80%
Immune to Wounded status","{'WoundResist': 100, 'CripplingWoundResist': 80}",Immune to Wounded statusImmune to Crippling Wound status,"{'WoundResist': 100, 'CripplingWoundResist': 100}"
Fireproof,Protects against being set on fire.,Defence,Reduces duration of On Fire status by 10%,{'BurningResist': 10},Reduces duration of On Fire status by 20%,{'BurningResist': 20},Reduces duration of On Fire status by 40%,{'BurningResist': 40},Reduces duration of On Fire status by 60%,{'BurningResist': 60},Reduces duration of On Fire status by 80%,{'BurningResist': 80},Immune to being set on fire.,{'BurningResist': 100}
Fortress,Grants a small shield after avoiding damage for a short time.,Defence,Grants a 10 health shield after not getting hit for 10s,{'Shield': 10},Grants a 20 health shield after not getting hit for 10s,{'Shield': 20},Grants a 40 health shield after not getting hit for 10s,{'Shield': 40},Grants a 60 health shield after not getting hit for 10s,{'Shield': 60},Grants a 80 health shield after not getting hit for 10s,{'Shield': 80},Grants a 100 health shield after not getting hit for 10s,{'Shield': 100}
Guardian,Grants a portion of any shield applied to you to your nearest ally.,Defence,+10% of any shield applied to you is also applied to your nearest ally for 15s,{'ShieldShare': 10},+20% of any shield applied to you is also applied to your nearest ally for 15s,{'ShieldShare': 20},+30% of any shield applied to you is also applied to your nearest ally for 15s,{'ShieldShare': 30},+40% of any shield applied to you is also applied to your nearest ally for 15s,{'ShieldShare': 40},+50% of any shield applied to you is also applied to your nearest ally for 15s,{'ShieldShare': 50},+60% of any shield applied to you is also applied to your nearest ally for 15s,{'ShieldShare': 60}
Iceborne,"Increases Defense when at low health, and at later ranks, grants life steal",Defence,"When under 50% health, grants +5% decreased damage taken",{'Mitigation': 5},"When under 50% health, grants +10% decreased damage taken",{'Mitigation': 10},"When under 50% health, grants +15% decreased damage taken",{'Mitigation': 15},"When under 50% health, grants +20% decreased damage taken
While Iceborne is active, grants 4% lifesteal that cannot heal beyond 50% health","{'Mitigation': 20, 'Lifesteal': 4}","When under 50% health, grants +25% decreased damage taken
While Iceborne is active, grants 6% lifesteal that cannot heal beyond 50% health","{'Mitigation': 25, 'Lifesteal': 6}","When under 50% health, grants +30% decreased damage taken
While Iceborne is active, grants 8% lifesteal that cannot heal beyond 50% health","{'Mitigation': 30, 'Lifesteal': 8}"
Insulated,Protects against Shocked status effect and allows you to attack electric shields.,Defence,Reduces duration of Shocked status by 25%,{'ShockResist': 25},Reduces duration of Shocked status by 50%,{'ShockResist': 50},Reduces duration of Shocked status by 75%,{'ShockResist': 75},"Reduces duration of Shocked status by 75%
Reduces knockback and damage of hitting electrified shields.","{'ShockResist': 75, 'ShockbackResist': 50}","Reduces duration of Shocked status by 75%
Prevents knockback and damage of hitting electrified shields.","{'ShockResist': 75, 'ShockbackResist': 100}","Immune to Shocked status
Prevents knockback and damage of hitting electrified shields.","{'ShockResist': 100, 'ShockbackResist': 100}"
Nine Lives,"Grants a chance to reduce damage, and later the ability to cheat death.",Defence,+5% chance to halve incoming damage,{'Lucky': 5},+8% chance to halve incoming damage,{'Lucky': 8},+12% chance to halve incoming damage,{'Lucky': 12},"+12% chance to halve incoming damage
The first time you would be knocked out, stay up and heal for 400","{'Lucky': 12, 'CheatDeath': 400}","+16% chance to halve incoming damage
The first time you would be knocked out, stay up and heal for 400","{'Lucky': 16, 'CheatDeath': 400}","+20% chance to halve incoming damage
The first time you would be knocked out, stay up and heal for 400, and become empowered for 10 seconds","{'Lucky': 20, 'CheatDeath': 400, 'Revenge': 10}"
Shellshock Resist,Protects against the explosion damage and status effect Shellshock.,Defence,Reduces Shell Shocked explosion damage and status effect duration by 10%,{'KaboomResist': 10},Reduces Shell Shocked explosion damage and status effect duration by 20%,{'KaboomResist': 20},Reduces Shell Shocked explosion damage and status effect duration by 40%,{'KaboomResist': 40},Reduces Shell Shocked explosion damage and status effect duration by 60%,{'KaboomResist': 60},Reduces Shell Shocked explosion damage and status effect duration by 80%,{'KaboomResist': 80},Immune to Shell Shocked explosion damage and status effect,{'KaboomResist': 100}
Sturdy,Prevents being staggered on a cooldown.,Defence,Prevents you from being staggered (120 second cooldown),{'WithstandCD': 120},Prevents you from being staggered (100 second cooldown),{'WithstandCD': 100},Prevents you from being staggered (80 second cooldown),{'WithstandCD': 80},Prevents you from being staggered (60 second cooldown),{'WithstandCD': 60},Prevents you from being staggered (40 second cooldown),{'WithstandCD': 40},Prevents you from being staggered (15 second cooldown),{'WithstandCD': 15}
