Name,Innate Cell,Slot 1,Slot 2,ID,Element,Unique,Description
Charred Saber,Aetherhunter,Defence,Power,Charrogg Sword,Blaze,,
Charred Crusher ,Aetherhunter,Defence,Power,Charrogg Hammer,Blaze,,
Charred Blades,Aetherhunter,Defence,Technique,Charrogg Chainblades,Blaze,,
Charred Cleaver,Aetherhunter,Defence,Power,Charrogg Axe,Blaze,,
Charred Spear,Aetherhunter,Defence,Technique,Charrogg War Pike,Blaze,,
Ember Cutlass,Evasive Fury,Mobility,Technique,Embermane Sword,Blaze,,
Ember Maul,Evasive Fury,Mobility,Power,Embermane Hammer,Blaze,,
Ember Blades,Evasive Fury,Mobility,Technique,Embermane Chainblades,Blaze,,
Ember Sycthe,Evasive Fury,Mobility,Technique,Embermane Axe,Blaze,,
Ember Pike,Evasive Fury,Mobility,Technique,Embermane War Pike,Blaze,,
Inferno's Razor,Overpower,Power,Power,Hellion Sword,Blaze,,
Inferno's Burden,Overpower,Power,Power,Hellion Hammer,Blaze,,
Inferno's Fangs,Overpower,Power,Power,Hellion Chainblades,Blaze,,
Inferno's Decree,Overpower,Power,Power,Hellion Axe,Blaze,,
Inferno's Arrow,Overpower,Power,Power,Hellion War Pike,Blaze,,
Onus of Boreus,Conditioning,Defence,Power,Boreus Sword,Frost,,
Brutality of Boreus,Conditioning,Defence,Power,Boreus Hammer,Frost,,
Destiny of Boreus,Conditioning,Defence,Power,Boreus Chainblades,Frost,,
Turmoil of Boreus,Conditioning,Defence,Power,Boreus Axe,Frost,,
Revolution of Boreus,Conditioning,Defence,Power,Boreus War Pike,Frost,,
Pangar's Call,Knockout King,Defence,Technique,Pangar Sword,Frost,,A Slayer's sword forged with Pangar trophies.
Pangar's Rampage,Knockout King,Defence,Power,Pangar Hammer,Frost,,
Pangar's Claws,Weighted Strikes,Defence,Technique,Pangar Chainblades,Frost,,
Pangar's Grace,Knockout King,Defence,Power,Pangar Axe,Frost,,
Pangar's Tooth,Weighted Strikes,Defence,Technique,Pangar War Pike,Frost,,
Winter Ice,Nimble,Mobility,Technique,Skraev Sword,Frost,Evading drops a trio of Ice Mines on a 30 second cooldown.,
Winter Squall,Nimble,Mobility,Power,Skraev Hammer,Frost,Evading drops a trio of Ice Mines on a 30 second cooldown.,
Winter Winds,Nimble,Mobility,Technique,Skraev Chainblades,Frost,Evading drops a trio of Ice Mines on a 30 second cooldown.,
Winter Gale,Nimble,Mobility,Power,Skraev Axe,Frost,Evading drops a trio of Ice Mines on a 30 second cooldown.,
Winter Vortex,Nimble,Mobility,Technique,Skraev War Pike,Frost,Evading drops a trio of Ice Mines on a 30 second cooldown.,
Thundering Blade,Aetheric Attunement,Power,Utility,Drask Sword,Shock,20% damage vs Behemoth Tails,
Thundering Maul,Aetheric Attunement,Power,Defence,Drask Hammer,Shock,20% damage vs Behemoth Heads,
Thundering Cutters,Aetheric Attunement,Power,Technique,Drask Chainblades,Shock,20% damage vs Behemoth Tails,
Thundering Scythe,Aetheric Attunement,Power,Defence,Drask Axe,Shock,20% damage vs Behemoth Heads,
Thundering Spear,Aetheric Attunement,Power,Technique,Drask War Pike,Shock,20% damage vs Behemoth Tails,
Nayzaga's Razor,Barbed,Utility,Mobility,Nayzaga Sword,Shock,+5% lifesteal vs wounded parts,
Nayzaga's Charge,Savagery,Utility,Power,Nayzaga Hammer,Shock,Heal for 300 whenever a Behemoth is staggered.,
Nayzaga's Reach,Barbed,Utility,Technique,Nayzaga Chainblades,Shock,+5% lifesteal vs wounded parts,
Nayzaga's Charge,Savagery,Utility,Power,Nayzaga Axe,Shock,Heal 100 on perfectly charged vertical attacks,
